aX,aY,aZ,gX,gY,gZ
0.0223,0.0066,-1.0051,0.4883,-0.3662,0.0610
0.0210,0.0066,-1.0045,0.4883,-0.3662,0.0610
0.0211,0.0067,-1.0038,0.4272,-0.4272,0.0610
0.0210,0.0066,-1.0067,0.4272,-0.4272,0.0000
0.0206,0.0071,-1.0040,0.3052,-0.4272,0.0610
0.0204,0.0072,-1.0049,0.3052,-0.4272,0.0610
0.0210,0.0070,-1.0066,0.2441,-0.3662,0.0610
0.0226,0.0070,-1.0038,0.2441,-0.3662,0.0610
0.0222,0.0070,-1.0062,0.2441,-0.3662,0.0000
0.0220,0.0068,-1.0051,0.2441,-0.3662,0.0610
0.0223,0.0072,-1.0031,0.2441,-0.3662,0.0610
0.0217,0.0078,-1.0056,0.4272,-0.3662,0.0610
0.0215,0.0076,-1.0042,0.4272,-0.3662,0.0610
0.0217,0.0071,-1.0050,0.3662,-0.3662,0.0610
0.0219,0.0068,-1.0046,0.3662,-0.3662,0.0610
0.0220,0.0072,-1.0046,0.3052,-0.4272,0.0610
0.0212,0.0070,-1.0070,0.2441,-0.4272,0.0610
0.0212,0.0074,-1.0055,0.3052,-0.3662,0.0610
0.0211,0.0082,-1.0051,0.1831,-0.3662,0.0610
0.0217,0.0084,-1.0060,0.3052,-0.3662,0.0610
0.0219,0.0079,-1.0039,0.2441,-0.3052,0.0610
0.0222,0.0082,-1.0046,0.2441,-0.3662,0.0610
0.0237,0.0073,-1.0049,0.3662,-0.3662,0.0610
0.0240,0.0072,-1.0045,0.3662,-0.3662,0.0610
0.0229,0.0071,-1.0055,0.4272,-0.3662,0.0610
0.0223,0.0076,-1.0039,0.4883,-0.3662,0.0610
0.0217,0.0079,-1.0062,0.4272,-0.4272,0.0610
0.0220,0.0084,-1.0067,0.4272,-0.3662,0.0610
0.0216,0.0084,-1.0040,0.3662,-0.4272,0.0610
0.0212,0.0073,-1.0048,0.4272,-0.3662,0.0610
0.0219,0.0063,-1.0051,0.4272,-0.3662,0.0610
0.0219,0.0063,-1.0050,0.4272,-0.3662,0.0000
0.0214,0.0070,-1.0056,0.4883,-0.3662,0.0610
0.0223,0.0074,-1.0040,0.5493,-0.3662,0.0610
0.0228,0.0079,-1.0066,0.4883,-0.3662,0.0610
0.0232,0.0082,-1.0060,0.5493,-0.3662,0.0610
0.0229,0.0078,-1.0032,0.6714,-0.3662,0.0610
0.0215,0.0074,-1.0057,0.7324,-0.3662,0.0610
0.0208,0.0074,-1.0049,0.7935,-0.3662,0.0610
0.0208,0.0071,-1.0050,0.8545,-0.3662,0.0610
0.0208,0.0063,-1.0065,0.9155,-0.3052,0.0610
0.0219,0.0067,-1.0057,1.0376,-0.3052,0.0610
0.0225,0.0063,-1.0060,0.9766,-0.3662,0.0610
0.0220,0.0057,-1.0054,0.9155,-0.3662,0.0610
0.0214,0.0071,-1.0046,0.6104,-0.3662,0.0610
0.0222,0.0066,-1.0061,0.6104,-0.3662,0.0610
0.0223,0.0062,-1.0050,0.5493,-0.3662,0.0610
0.0222,0.0061,-1.0052,0.4883,-0.3662,0.0610
0.0221,0.0063,-1.0055,0.4883,-0.3662,0.0610
0.0220,0.0060,-1.0042,0.4883,-0.4272,0.0610
0.0228,0.0059,-1.0054,0.4272,-0.3662,0.0610
0.0225,0.0060,-1.0054,0.4883,-0.3662,0.0610
0.0221,0.0065,-1.0042,0.4883,-0.3662,0.0610
0.0217,0.0062,-1.0056,0.4272,-0.4272,0.0610
0.0228,0.0056,-1.0046,0.4272,-0.4272,0.0610
0.0228,0.0055,-1.0055,0.3662,-0.4272,0.0000
0.0219,0.0051,-1.0055,0.3662,-0.4272,0.0610
0.0209,0.0056,-1.0044,0.3052,-0.4272,0.0610
0.0206,0.0059,-1.0059,0.3662,-0.4272,0.0000
0.0225,0.0061,-1.0042,0.3662,-0.4272,0.0610
0.0217,0.0063,-1.0045,0.3052,-0.4272,0.0000
0.0216,0.0060,-1.0059,0.3052,-0.4272,0.0610
0.0226,0.0055,-1.0054,0.3662,-0.3662,0.0610
0.0221,0.0063,-1.0057,0.4883,-0.3662,0.0610
0.0229,0.0065,-1.0052,0.4883,-0.3662,0.0000
0.0226,0.0063,-1.0042,0.3662,-0.3662,0.0610
0.0219,0.0056,-1.0054,0.3662,-0.4272,0.0610
0.0217,0.0067,-1.0044,0.5493,-0.3662,0.0610
0.0216,0.0062,-1.0046,0.4883,-0.3662,0.0610
0.0216,0.0057,-1.0057,0.4883,-0.3662,0.0610
0.0214,0.0056,-1.0037,0.4272,-0.3662,0.0610
0.0205,0.0048,-1.0046,0.4272,-0.3052,0.1221
0.0201,0.0049,-1.0052,0.4883,-0.3052,0.0610
0.0194,0.0051,-1.0060,0.4883,-0.2441,0.0610
0.0205,0.0051,-1.0051,0.5493,-0.1831,0.0610
0.0206,0.0059,-1.0034,0.4883,-0.1831,0.0000
0.0217,0.0062,-1.0046,0.5493,-0.1831,0.0610
0.0228,0.0063,-1.0070,0.7935,-0.1831,0.0610
0.0250,0.0050,-1.0033,0.9155,-0.1831,0.0610
0.0256,0.0052,-1.0048,1.1597,-0.2441,0.0610
0.0256,0.0050,-1.0055,0.9155,-0.2441,0.0610
0.0266,0.0048,-1.0040,0.1831,-0.4272,0.1221
0.0254,0.0051,-1.0050,0.7324,-0.4272,0.1221
0.0232,0.0055,-1.0033,0.4272,-0.5493,0.1221
0.0208,0.0055,-1.0055,0.3052,-0.5493,0.1221
0.0168,0.0057,-1.0039,0.3052,-0.4272,0.1221
0.0165,0.0062,-1.0055,0.2441,-0.3662,0.1221
0.0172,0.0051,-1.0077,0.1831,-0.3052,0.1221
0.0193,0.0033,-1.0066,0.2441,-0.3052,0.0610
0.0237,0.0038,-1.0049,0.4883,-0.3052,0.0610
0.0247,0.0050,-1.0050,0.7935,-0.2441,0.0610
0.0253,0.0065,-1.0039,0.7935,-0.2441,0.1221
0.0247,0.0070,-1.0037,0.4883,-0.3052,0.1221
0.0231,0.0066,-1.0046,0.6104,-0.3662,0.1221
0.0227,0.0055,-1.0048,0.6714,-0.4272,0.0610
0.0221,0.0046,-1.0071,0.8545,-0.3662,0.0000
0.0223,0.0040,-1.0066,0.7324,-0.3052,0.0610
0.0225,0.0023,-1.0054,0.0610,-0.5493,0.0610
0.0227,0.0042,-1.0056,0.0610,-0.6104,0.0000
0.0236,0.0057,-1.0046,0.1831,-0.5493,0.0000
0.0238,0.0066,-1.0049,0.0000,-0.6714,0.0610
0.0229,0.0059,-1.0042,0.1831,-0.6714,0.0610
0.0215,0.0055,-1.0056,0.3052,-0.6104,0.0000
